Feature,Importance
Dept,0.6277300543800015
Size,0.18505646675528398
Store,0.05662658973052944
Week,0.037225484038548466
CPI,0.025920940188040278
Unemployment,0.010596438736477115
Temperature,0.008914634567788998
Day,0.007325699272135268
Month,0.006332150794304238
Store_Type_B,0.006164267438289556
Type_B,0.005638723886995435
Store_Size_Category_Small,0.005230325642190991
MarkDown3,0.004267194216422737
Fuel_Price,0.003476527226274739
Store_Size_Category_Medium,0.0025083735702375737
MarkDown4,0.0012716164972388212
MarkDown5,0.0009488129555547741
Type_C,0.0008835319843109062
MarkDown1,0.0008568264817465795
MarkDown2,0.0008492049831883388
Store_Type_C,0.0007972325294828244
IsHoliday_feature,0.00048297250890703074
IsHoliday,0.00045692059587994633
Quarter,0.00022483459265411573
Year,0.00021417642751632378
DayOfWeek,0.0
